qid,n_hits,n_relevant_qrel,n_relevant_in_hits,best_rank,found_in_top_k
286576,1000,1,1,19.0,True
286666,1000,1,0,,False
28682,1000,1,1,473.0,True
286996,1000,1,1,4.0,True
28717,1000,1,1,4.0,True
28725,1000,1,1,325.0,True
287433,1000,1,1,3.0,True
287456,1000,1,1,241.0,True
28762,1000,1,1,1.0,True
28779,1000,1,1,219.0,True
287860,1000,1,0,,False
287879,1000,1,0,,False
287986,1000,1,1,798.0,True
28803,1000,1,1,2.0,True
288063,1000,1,0,,False
288234,1000,1,1,63.0,True
288361,1000,1,1,49.0,True
288375,1000,1,0,,False
28846,1000,1,1,9.0,True
288474,1000,1,1,256.0,True
288655,1000,1,0,,False
288671,1000,1,1,29.0,True
288761,1000,1,1,110.0,True
288783,1000,1,1,36.0,True
288853,1000,1,1,48.0,True
288876,1000,1,1,242.0,True
288973,1000,1,1,1.0,True
289003,1000,1,1,198.0,True
289070,1000,1,1,4.0,True
289208,1000,1,1,43.0,True
289250,1000,1,1,39.0,True
28929,1000,1,0,,False
28957,1000,1,1,126.0,True
289626,1000,1,1,21.0,True
289659,1000,1,1,17.0,True
289660,1000,1,1,151.0,True
289670,1000,1,1,876.0,True
289804,1000,1,0,,False
289905,1000,1,0,,False
290471,1000,1,1,326.0,True
290495,1000,1,1,28.0,True
290518,1000,1,1,407.0,True
290614,1000,1,0,,False
290631,1000,1,1,27.0,True
290762,1000,1,1,47.0,True
290906,1000,1,0,,False
290964,1000,1,1,616.0,True
291253,1000,1,0,,False
29127,1000,1,0,,False
291315,1000,1,1,694.0,True
291351,1000,1,1,3.0,True
291370,1000,1,1,10.0,True
291517,1000,1,1,43.0,True
291567,1000,1,1,45.0,True
291613,1000,1,0,,False
29164,1000,1,1,8.0,True
291776,1000,1,0,,False
292125,1000,1,1,13.0,True
292312,1000,1,1,3.0,True
292402,1000,1,0,,False
293031,1000,1,1,6.0,True
293051,1000,1,0,,False
293067,1000,1,1,2.0,True
293312,1000,1,0,,False
29333,1000,1,1,97.0,True
293385,1000,1,1,2.0,True
293439,1000,1,1,31.0,True
293471,1000,1,1,4.0,True
293576,1000,1,1,57.0,True
293577,1000,1,1,207.0,True
293769,1000,1,1,563.0,True
293792,1000,1,1,139.0,True
293939,1000,1,1,37.0,True
294080,1000,1,1,5.0,True
294122,1000,1,1,869.0,True
294224,1000,1,1,8.0,True
294259,1000,1,1,19.0,True
294268,1000,1,1,258.0,True
29431,1000,1,1,297.0,True
294353,1000,1,1,228.0,True
294858,1000,1,1,9.0,True
295119,1000,1,1,10.0,True
295126,1000,1,1,65.0,True
295285,1000,1,1,902.0,True
295576,1000,1,1,12.0,True
29576,1000,1,1,1.0,True
295761,1000,1,1,3.0,True
295947,1000,1,0,,False
295999,1000,1,1,4.0,True
296075,1000,1,1,15.0,True
29608,1000,1,1,1.0,True
296099,1000,1,1,15.0,True
296104,1000,1,1,22.0,True
296141,1000,1,1,1.0,True
296212,1000,1,0,,False
296447,1000,1,1,678.0,True
296451,1000,1,1,228.0,True
296618,1000,1,1,65.0,True
296672,1000,1,1,84.0,True
296769,1000,1,0,,False
296829,1000,1,1,23.0,True
296859,1000,2,1,233.0,True
297287,1000,2,2,87.0,True
297324,1000,1,1,66.0,True
297509,1000,1,0,,False
297619,1000,1,1,387.0,True
297647,1000,1,1,130.0,True
297668,1000,1,1,39.0,True
297708,1000,1,1,1.0,True
29773,1000,1,0,,False
297753,1000,1,1,716.0,True
297887,1000,1,1,1.0,True
297932,1000,1,0,,False
297942,1000,1,0,,False
29798,1000,1,1,32.0,True
297991,1000,1,1,662.0,True
297998,1000,1,0,,False
298118,1000,1,1,202.0,True
298589,1000,2,2,55.0,True
298598,1000,1,1,981.0,True
298636,1000,1,0,,False
298733,1000,1,1,35.0,True
298757,1000,1,0,,False
298811,1000,1,1,1.0,True
298903,1000,1,1,91.0,True
298968,1000,1,1,44.0,True
299001,1000,1,1,2.0,True
299026,1000,1,1,641.0,True
299316,1000,2,0,,False
299415,1000,1,1,4.0,True
299957,1000,1,1,15.0,True
3001,1000,1,1,39.0,True
30035,1000,1,1,14.0,True
300366,1000,1,1,39.0,True
300723,1000,1,1,350.0,True
300827,1000,1,1,5.0,True
300918,1000,1,1,813.0,True
300967,1000,1,1,335.0,True
30114,1000,1,1,47.0,True
301479,1000,1,0,,False
30149,1000,1,0,,False
301775,1000,1,1,5.0,True
301893,1000,1,0,,False
302060,1000,1,0,,False
302067,1000,1,0,,False
